created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-13 23:20:59 UTC,1,25.10,1.00,0.00,0.00,0.00,0.00,24.81,3.15
2018-04-13 23:21:15 UTC,2,25.00,1.00,0.00,0.00,0.00,0.00,24.81,5.18
2018-04-20 18:48:33 UTC,3,26.70,1.00,0.01,0.00,0.00,0.00,25.69,191.80
2018-04-20 18:48:48 UTC,4,26.70,1.00,0.01,0.00,0.00,0.00,25.69,190.91
2018-04-20 18:54:16 UTC,5,26.70,1.00,0.01,0.00,0.00,0.00,25.69,192.27
2018-04-20 19:15:46 UTC,6,26.60,1.00,0.01,0.00,0.00,0.00,25.69,191.87
2018-04-20 19:16:27 UTC,7,26.60,1.00,0.01,0.00,0.36,2.72,25.69,191.66
2018-04-20 19:17:31 UTC,8,26.60,1.00,0.01,0.00,1.12,2.93,25.69,191.45
2018-04-20 21:00:08 UTC,9,12.25,1.00,4.26,0.00,0.47,1.41,-0.38,6.51
2018-04-20 21:10:08 UTC,10,13.32,1.00,4.22,0.00,0.15,0.60,-0.38,6.47
2018-04-20 21:20:08 UTC,11,12.20,1.00,4.16,0.00,0.50,1.10,-0.38,6.45
2018-04-20 21:30:06 UTC,12,11.32,1.00,3.55,0.00,0.62,1.87,-0.38,6.49
2018-04-20 21:40:08 UTC,13,10.90,1.00,2.39,0.00,0.53,1.36,-0.38,6.50
2018-04-20 21:50:08 UTC,14,11.87,1.00,2.64,0.00,0.25,0.99,-0.38,6.50
2018-04-20 22:00:07 UTC,15,12.84,1.00,3.05,0.00,0.22,0.97,-0.38,6.51
2018-04-20 22:10:08 UTC,16,11.91,1.00,2.52,0.00,0.52,1.63,-0.38,6.46
2018-04-20 22:10:08 UTC,17,11.91,1.00,2.52,0.00,0.52,1.63,-0.38,6.46
2018-04-20 22:20:07 UTC,18,11.47,1.00,2.03,0.00,0.20,1.02,-0.38,6.52
2018-04-20 22:30:08 UTC,19,10.91,1.00,1.78,0.00,0.71,1.64,-0.38,6.53
2018-04-20 22:40:06 UTC,20,12.34,1.00,2.76,0.00,0.10,0.58,-0.38,6.52
2018-04-20 22:50:06 UTC,21,12.11,1.00,1.85,0.00,0.30,1.45,-0.38,6.55
2018-04-20 23:00:08 UTC,22,10.65,1.00,1.36,0.00,0.81,1.54,-0.38,6.51
2018-04-20 23:10:06 UTC,23,10.09,1.00,1.04,0.00,1.14,2.18,-0.38,6.55
2018-04-20 23:20:06 UTC,24,9.71,1.00,0.90,0.00,0.94,1.72,-0.38,6.55
2018-04-20 23:30:08 UTC,25,9.52,1.00,0.79,0.00,1.08,1.97,-0.38,6.59
2018-04-20 23:40:05 UTC,26,9.42,1.00,0.68,0.00,0.90,1.94,-0.38,6.55
2018-04-20 23:40:05 UTC,27,9.42,1.00,0.68,0.00,0.90,1.94,-0.38,6.55
2018-04-20 23:50:08 UTC,28,9.41,1.00,0.59,0.00,1.06,2.02,-0.38,6.52
2018-04-21 00:00:07 UTC,29,8.76,1.00,0.48,0.00,0.71,1.67,-0.38,6.55
2018-04-21 00:00:07 UTC,30,8.76,1.00,0.48,0.00,0.71,1.67,-0.38,6.55
2018-04-21 00:10:06 UTC,31,8.95,1.00,0.38,0.00,0.93,1.58,-0.38,6.58
2018-04-21 00:20:08 UTC,32,8.66,1.00,0.29,0.00,0.92,1.56,-0.38,6.53
2018-04-21 00:30:06 UTC,33,8.42,1.01,0.22,0.00,0.73,1.20,-0.38,6.55
2018-04-21 00:40:06 UTC,34,8.33,1.00,0.15,0.00,0.78,1.56,-0.37,6.56
2018-04-21 00:40:06 UTC,35,8.33,1.00,0.15,0.00,0.78,1.56,-0.37,6.56
2018-04-21 00:50:07 UTC,36,8.31,1.00,0.09,0.00,0.70,1.28,-0.38,6.58
2018-04-21 01:00:06 UTC,37,8.25,1.00,0.04,0.00,0.93,1.58,-0.38,6.61
2018-04-21 01:10:06 UTC,38,8.09,1.00,0.01,0.00,0.74,1.84,-0.38,6.57
2018-04-21 01:20:06 UTC,39,7.66,1.01,0.00,0.00,0.46,0.89,-0.38,6.55
2018-04-21 01:30:06 UTC,40,7.35,1.34,0.00,0.00,0.39,0.74,-0.38,6.56
2018-04-21 01:40:07 UTC,41,7.14,2.15,0.00,0.00,0.57,1.61,-0.38,6.58
2018-04-21 01:50:05 UTC,42,7.47,1.54,0.00,0.00,0.81,1.46,-0.38,6.51
2018-04-21 02:00:07 UTC,43,7.23,1.62,0.00,0.00,0.67,1.72,-0.38,6.56
2018-04-21 02:10:06 UTC,44,7.07,1.40,0.00,0.00,0.63,1.10,-0.38,6.55
2018-04-21 02:20:05 UTC,45,6.57,2.73,0.00,0.00,0.34,0.79,-0.38,6.55
2018-04-21 02:30:06 UTC,46,6.30,2.80,0.00,0.00,0.36,0.83,-0.38,6.56
2018-04-21 02:40:06 UTC,47,6.25,2.10,0.00,0.00,0.45,0.89,-0.38,6.50
2018-04-21 02:50:05 UTC,48,6.57,1.03,0.00,0.00,0.48,0.89,-0.38,6.57
2018-04-21 03:00:06 UTC,49,6.07,2.28,0.00,0.00,0.36,1.20,-0.38,6.57
2018-04-21 03:10:06 UTC,50,5.50,5.80,0.00,0.00,0.23,0.94,-0.38,6.53
2018-04-21 03:20:05 UTC,51,5.44,6.31,0.00,0.00,0.25,0.52,-0.38,6.55
2018-04-21 03:30:06 UTC,52,5.38,7.59,0.00,0.00,0.18,0.47,-0.38,6.99
2018-04-21 03:40:06 UTC,53,5.19,9.77,0.00,0.00,0.19,0.61,-0.38,6.80
2018-04-21 03:50:04 UTC,54,5.35,9.33,0.00,0.00,0.21,0.53,-0.38,6.58
2018-04-21 04:00:06 UTC,55,4.72,12.70,0.00,0.00,0.05,0.34,-0.38,6.55
2018-04-21 04:10:06 UTC,56,5.04,10.73,0.00,0.00,0.12,0.39,-0.38,6.49
2018-04-21 04:20:05 UTC,57,4.52,13.66,0.00,0.00,0.21,0.45,-0.38,6.49
2018-04-21 04:30:05 UTC,58,3.59,21.03,0.00,0.00,0.14,0.55,-0.38,6.54
2018-04-21 04:40:06 UTC,59,3.37,20.67,0.00,0.00,0.24,0.52,-0.38,6.51
2018-04-21 04:50:05 UTC,60,3.46,19.49,0.00,0.00,0.04,0.35,-0.38,6.51
2018-04-21 05:00:05 UTC,61,3.31,20.01,0.00,0.00,0.14,0.57,-0.38,6.54
2018-04-21 05:10:04 UTC,62,3.27,18.98,0.00,0.00,0.13,0.43,-0.38,6.54
2018-04-21 05:20:04 UTC,63,3.31,18.85,0.00,0.00,0.11,0.43,-0.38,6.50
2018-04-21 05:30:03 UTC,64,3.04,20.77,0.00,0.00,0.06,0.30,-0.38,6.52
2018-04-21 05:40:04 UTC,65,2.27,26.00,0.00,0.00,0.07,0.32,-0.38,6.50
2018-04-21 05:50:06 UTC,66,2.47,23.63,0.00,0.00,0.01,0.17,-0.38,6.60
2018-04-21 06:00:04 UTC,67,2.17,24.54,0.00,0.00,0.02,0.32,-0.38,6.58
2018-04-21 06:10:04 UTC,68,2.33,23.59,0.00,0.00,0.12,0.48,-0.38,6.52
2018-04-21 06:20:04 UTC,69,1.50,31.22,0.00,0.00,0.01,0.21,-0.37,6.56
2018-04-21 06:30:04 UTC,70,0.85,37.22,0.00,0.00,0.00,0.09,-0.38,6.57
2018-04-21 06:40:06 UTC,71,1.07,35.15,0.00,0.00,0.00,0.09,-0.38,6.54
2018-04-21 06:50:04 UTC,72,1.64,27.96,0.00,0.00,0.09,0.34,-0.38,6.46
2018-04-21 07:00:06 UTC,73,1.39,29.69,0.00,0.00,0.01,0.30,-0.38,6.59
2018-04-21 07:10:05 UTC,74,1.20,32.83,0.00,0.00,0.04,0.27,-0.38,6.54
2018-04-21 07:20:06 UTC,75,1.44,30.49,0.00,0.00,0.02,0.21,-0.38,6.52
2018-04-21 07:30:05 UTC,76,0.80,34.98,0.00,0.00,0.00,0.08,-0.38,6.56
2018-04-21 07:30:05 UTC,77,0.80,34.98,0.00,0.00,0.00,0.08,-0.38,6.56
2018-04-21 07:40:04 UTC,78,0.54,40.66,0.00,0.00,0.00,0.06,-0.38,6.54
2018-04-21 07:50:04 UTC,79,1.04,35.17,0.00,0.00,0.00,0.06,-0.38,6.51
2018-04-21 08:00:05 UTC,80,1.24,32.41,0.00,0.00,0.00,0.03,-0.38,6.54
2018-04-21 08:10:04 UTC,81,1.52,27.33,0.00,0.00,0.00,0.06,-0.38,6.50
2018-04-21 08:20:05 UTC,82,1.49,27.18,0.00,0.00,0.00,0.04,-0.38,6.57
2018-04-21 08:30:04 UTC,83,2.01,30.05,0.00,0.00,0.02,0.17,-0.38,6.52
2018-04-21 08:30:04 UTC,84,2.01,30.05,0.00,0.00,0.02,0.17,-0.38,6.52
2018-04-21 08:40:05 UTC,85,1.89,32.48,0.00,0.00,0.00,0.09,-0.38,6.49
2018-04-21 08:50:05 UTC,86,1.46,37.22,0.00,0.00,0.00,0.09,-0.38,6.49
2018-04-21 09:00:05 UTC,87,1.45,34.06,0.00,0.00,0.00,0.12,-0.38,6.50
2018-04-21 09:00:05 UTC,88,1.45,34.06,0.00,0.00,0.00,0.12,-0.38,6.50
2018-04-21 09:10:03 UTC,89,2.13,27.93,0.00,0.00,0.01,0.17,-0.38,6.91
2018-04-21 09:20:03 UTC,90,2.43,25.22,0.00,0.00,0.03,0.24,-0.38,6.84
2018-04-21 09:30:04 UTC,91,2.27,27.59,0.00,0.00,0.00,0.00,-0.38,7.05
2018-04-21 09:40:04 UTC,92,1.71,31.89,0.00,0.00,0.00,0.06,-0.38,5.97
2018-04-21 09:50:03 UTC,93,2.08,28.24,0.00,0.00,0.00,0.08,-0.38,5.94
2018-04-21 10:00:04 UTC,94,2.54,26.34,0.00,0.00,0.00,0.12,-0.38,6.43
2018-04-21 10:10:04 UTC,95,1.92,33.17,0.00,0.00,0.00,0.06,-0.38,6.51
2018-04-21 10:20:05 UTC,96,1.66,39.38,0.00,0.00,0.00,0.08,-0.38,6.07
2018-04-21 10:30:05 UTC,97,1.39,43.85,0.00,0.00,0.00,0.08,-0.38,5.99
2018-04-21 10:40:04 UTC,98,1.33,44.95,0.00,0.00,0.03,0.24,-0.38,6.44
2018-04-21 10:40:04 UTC,99,1.33,44.95,0.00,0.00,0.03,0.24,-0.38,6.44
2018-04-21 10:50:04 UTC,100,1.26,46.17,0.00,0.00,0.00,0.08,-0.38,6.52
2018-04-21 11:00:04 UTC,101,1.09,47.88,0.00,0.00,0.00,0.03,-0.38,6.16
2018-04-21 11:10:04 UTC,102,0.88,55.53,0.00,0.00,0.00,0.04,-0.38,6.07
2018-04-21 11:20:05 UTC,103,0.76,54.83,0.01,0.00,0.00,0.09,-0.38,6.46
2018-04-21 11:30:06 UTC,104,1.14,46.47,0.04,0.00,0.01,0.12,-0.38,6.53
2018-04-21 11:40:04 UTC,105,1.30,42.71,0.08,0.00,0.00,0.08,-0.38,6.55
