created_at,entry_id,field1,field2,field3,field4,field5,field6
2017-04-11 23:39:36 UTC,17,23.0,31,9,0.0,4.1,93.7
2017-04-11 23:40:37 UTC,18,23.0,31,9,0.0,4.1,93.7
2017-04-11 23:41:40 UTC,19,23.3,31,10,0.0,4.1,93.5
2017-04-11 23:42:40 UTC,20,24.0,31,10,0.0,4.1,93.5
2017-04-11 23:44:13 UTC,21,24.0,31,9,0.0,4.1,93.4
2017-04-11 23:45:15 UTC,22,24.0,31,10,0.0,4.1,93.2
2017-04-11 23:46:17 UTC,23,24.0,31,10,0.0,4.1,93.2
2017-04-11 23:47:19 UTC,24,24.0,31,10,0.0,4.1,93.2
2017-04-11 23:49:38 UTC,25,24.00,31.00,9.34,0.00,4.12,93.07
2017-04-11 23:50:40 UTC,26,24.00,31.00,9.38,0.00,4.12,92.91
2017-04-11 23:51:40 UTC,27,24.00,31.00,10.07,0.00,4.12,92.91
2017-04-12 00:45:50 UTC,28,24.00,32.00,10.31,0.00,4.11,90.86
2017-04-12 00:46:21 UTC,29,24.00,32.00,10.77,0.00,4.11,90.86
2017-04-12 00:46:54 UTC,30,24.00,32.00,10.56,0.00,4.11,90.86
2017-04-12 00:47:25 UTC,31,24.00,32.00,10.71,0.00,4.11,90.86
2017-04-12 00:53:48 UTC,32,24.00,31.92,10.36,415.95,4.11,90.86
2017-04-12 00:54:20 UTC,33,24.00,32.00,10.46,36.66,4.11,90.86
2017-04-12 00:54:50 UTC,34,24.00,32.00,10.50,39.48,4.11,90.86
2017-04-12 00:55:23 UTC,35,24.00,32.00,10.45,36.66,4.11,90.86
2017-04-12 00:55:53 UTC,36,24.00,32.00,10.41,469.53,4.11,90.86
2017-04-12 01:00:00 UTC,37,24.00,31.08,10.57,36.66,4.11,90.86
2017-04-12 01:00:33 UTC,38,24.00,31.78,10.54,39.48,4.11,90.86
2017-04-12 01:01:05 UTC,39,24.00,31.22,10.53,39.48,4.11,90.86
2017-04-12 01:01:37 UTC,40,24.00,31.07,10.61,39.48,4.11,90.86
